,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,78300.0,2800.0,+3.71%,100.0,4674340.0,5969783.0,55.81,19115063.0,36.74,4.15,
2,2.0,SK하이닉스,179200.0,8200.0,+4.80%,5000.0,1304580.0,728002.0,54.37,3785173.0,-14.32,-15.61,
3,3.0,LG에너지솔루션,384500.0,14500.0,+3.92%,500.0,899730.0,234000.0,4.85,215424.0,72.73,6.36,
4,4.0,삼성바이오로직스,791000.0,0.0,0.00%,2500.0,562986.0,71174.0,11.98,40439.0,65.64,9.12,
5,5.0,삼성전자우,65400.0,1900.0,+2.99%,100.0,538168.0,822887.0,75.79,1283281.0,30.69,,
9,6.0,현대차,251000.0,1500.0,+0.60%,5000.0,525635.0,209416.0,39.75,813387.0,5.76,13.68,
10,7.0,기아,116300.0,400.0,+0.35%,5000.0,467577.0,402044.0,40.23,931236.0,5.34,20.44,
11,8.0,셀트리온,180000.0,300.0,+0.17%,1000.0,392490.0,218050.0,23.39,243156.0,49.46,5.07,
12,9.0,POSCO홀딩스,396500.0,5000.0,+1.28%,5000.0,335325.0,84571.0,27.65,310563.0,19.75,3.18,
13,10.0,NAVER,183900.0,3800.0,+2.11%,100.0,298669.0,162409.0,45.2,522574.0,29.76,4.41,
17,11.0,삼성SDI,421000.0,14000.0,+3.44%,5000.0,289499.0,68765.0,41.92,299123.0,14.75,11.48,
18,12.0,삼성물산,150500.0,100.0,+0.07%,100.0,279315.0,185592.0,25.0,192954.0,12.73,7.28,
19,13.0,KB금융,68900.0,1300.0,-1.85%,5000.0,278019.0,403511.0,75.58,808253.0,6.02,8.44,
20,14.0,LG화학,382000.0,10000.0,+2.69%,5000.0,269663.0,70592.0,38.9,251144.0,22.35,4.2,
21,15.0,포스코퓨처엠,297000.0,22000.0,+8.00%,500.0,230066.0,77463.0,9.37,761516.0,800.54,1.19,
25,16.0,현대모비스,244000.0,5500.0,+2.31%,5000.0,228518.0,93655.0,39.98,106482.0,6.71,8.73,
26,17.0,신한지주,43450.0,450.0,-1.03%,5000.0,221331.0,509393.0,61.04,1182299.0,5.17,8.36,
27,18.0,카카오,48050.0,550.0,+1.16%,100.0,213940.0,445244.0,28.01,632058.0,-21.11,-10.26,
28,19.0,삼성생명,85400.0,700.0,-0.81%,500.0,170800.0,200000.0,19.41,192939.0,9.01,4.95,
29,20.0,하나금융지주,56600.0,1000.0,-1.74%,5000.0,165474.0,292357.0,70.32,720490.0,4.87,9.01,
33,21.0,LG전자,92400.0,400.0,-0.43%,5000.0,151211.0,163648.0,30.07,373341.0,23.44,3.69,
34,22.0,메리츠금융지주,77700.0,1100.0,-1.40%,500.0,148190.0,190720.0,17.71,350554.0,7.41,28.11,
35,23.0,삼성화재,300000.0,8000.0,-2.60%,500.0,142125.0,47375.0,53.81,44417.0,8.34,12.73,
36,24.0,한미반도체,141700.0,10300.0,+7.84%,100.0,137930.0,97339.0,13.6,3861038.0,51.62,55.54,
37,25.0,한국전력,20950.0,500.0,-2.33%,5000.0,134491.0,641964.0,15.32,1644981.0,-2.79,-12.63,
41,26.0,LG,79500.0,300.0,+0.38%,5000.0,125054.0,157301.0,35.26,95818.0,10.11,4.89,
42,27.0,한화에어로스페이스,243000.0,6500.0,+2.75%,5000.0,123031.0,50630.0,35.93,806109.0,15.05,25.6,
43,28.0,SK,162700.0,2000.0,+1.24%,200.0,119094.0,73198.0,24.92,78211.0,-15.5,-3.67,
44,29.0,카카오뱅크,24700.0,200.0,+0.82%,5000.0,117800.0,476921.0,16.81,383277.0,33.2,6.0,
45,30.0,삼성에스디에스,151100.0,900.0,-0.59%,500.0,116918.0,77378.0,18.79,65386.0,16.86,8.22,
49,31.0,크래프톤,241500.0,3500.0,+1.47%,100.0,116800.0,48364.0,36.84,240090.0,19.76,11.16,
50,32.0,KT&G,89500.0,200.0,-0.22%,5000.0,116639.0,130322.0,44.53,88862.0,13.53,9.76,
51,33.0,HD현대중공업,131000.0,3800.0,+2.99%,5000.0,116293.0,88773.0,8.05,420585.0,471.22,0.47,
52,34.0,SK스퀘어,86000.0,3400.0,+4.12%,100.0,115885.0,134750.0,51.73,411841.0,-9.41,-8.04,
53,35.0,삼성전기,148200.0,5000.0,+3.49%,5000.0,110696.0,74694.0,31.39,323493.0,27.19,5.5,
57,36.0,SK텔레콤,51100.0,200.0,+0.39%,100.0,109758.0,214790.0,42.14,191175.0,10.23,9.63,
58,37.0,기업은행,13610.0,90.0,-0.66%,5000.0,108530.0,797426.0,15.37,644627.0,4.07,8.79,
59,38.0,한화오션,34650.0,100.0,-0.29%,5000.0,106153.0,306359.0,16.59,4899029.0,45.77,6.33,
60,39.0,SK이노베이션,110000.0,1600.0,+1.48%,5000.0,105309.0,95736.0,22.69,272549.0,41.92,1.22,
61,40.0,우리금융지주,14040.0,160.0,-1.13%,5000.0,104260.0,742592.0,42.01,1509818.0,4.14,8.3,
65,41.0,HMM,14920.0,10.0,+0.07%,5000.0,102805.0,689039.0,10.34,1481303.0,8.16,4.59,
66,42.0,두산에너빌리티,15770.0,230.0,+1.48%,5000.0,101016.0,640561.0,17.99,1908974.0,181.26,0.78,
67,43.0,고려아연,454500.0,7000.0,-1.52%,5000.0,95030.0,20909.0,18.07,47621.0,17.4,5.72,
68,44.0,HD한국조선해양,129300.0,4000.0,+3.19%,5000.0,91510.0,70773.0,26.97,509925.0,41.27,2.26,
69,45.0,HD현대일렉트릭,253000.0,13000.0,+5.42%,5000.0,91199.0,36047.0,28.97,1193261.0,35.19,27.71,
73,46.0,KT,34600.0,50.0,+0.14%,5000.0,88979.0,257165.0,45.5,364047.0,8.9,6.05,
74,47.0,하이브,211000.0,1000.0,+0.48%,500.0,87886.0,41652.0,20.92,511432.0,46.85,6.58,
75,48.0,S-Oil,76400.0,1000.0,-1.29%,2500.0,86013.0,112583.0,79.1,179249.0,9.39,10.83,
76,49.0,삼성중공업,9660.0,30.0,+0.31%,1000.0,85008.0,880000.0,25.25,13289222.0,-57.5,-4.22,
77,50.0,아모레퍼시픽,144800.0,2600.0,+1.83%,500.0,84698.0,58493.0,27.75,196273.0,55.52,3.72,
